1247847505997344800,ipanipunni,"Semoga pandemi corona ini cepat berlalu. Buat kalian yang gak sabar untuk daftar kartu prakerja, bisa cek link diba… https://t.co/zhQjqQcKQd"
1247847841571074000,WolesGaes,RT @KemnakerRI: Sejumlah program dan kebijakan juga disiapkan untuk menanggulangi pandemi Covid-19. Diantaranya percepatan pelaksanaan Kart…
1247847855068311600,ISengkuny,RT @KemnakerRI: Sejumlah program dan kebijakan juga disiapkan untuk menanggulangi pandemi Covid-19. Diantaranya percepatan pelaksanaan Kart…
1247847877373616000,nur_ita77,"RT @Je_Ly: Berita baik aplg bp @ganjarpranowo?  Ini dia😉 U/ yg terdampak Coeoba, diPHK ato dirumahkan,ayo daftar kartu Prakerja.  Ke mana D…"
1247848047255511000,kompascom,"Catat, Kartu Prakerja diprioritaskan untuk pengangguran muda yang akan mendapatkan insentif biaya pelatihan dan pen… https://t.co/28BmtL3K9r"
1247848711348093000,tapalhero,"Hari ke hari melawan pandemi makin banyak pekerja kite yang kena PHK, semoga ni Kartu Prakerja beneran bisa ngasi i… https://t.co/9ZqyBlVG4H"
1247848906538373000,JailaniKodier,"RT @yusuf_dumdum: Meskipun begini, masih saja ada yang nyinyir. Mirisnya nyinyir sambil menikmati subsidi dari program pemerintah. 😅  #Ceka…"
1247849208729571300,RendiRuswandi2,@Pemkot_Sukabumi Di disnaker sukabumi apakah ada pendataan untuk buruh yang terkena dampak pandemik covid-19. Saya… https://t.co/hEU1Lvx9Ya
1247849842660929500,tedju_lius,"RT @kompascom: Catat, Kartu Prakerja diprioritaskan untuk pengangguran muda yang akan mendapatkan insentif biaya pelatihan dan pendaftaran…"
1247850135767392300,pekanbarukucom,Tanya jawab seputar kartu prakerja  Info lengkap silahkan cek link resmi https://t.co/64nL6LBfgo  Keterangan lengka… https://t.co/1fQ6qIJszw
1247850291262709800,3dysarwo,Untuk UMKM selaku Pekerja Mandiri yang turut terdampak apa bisa Akses program Kartu Prakerja juga Pak Gub… https://t.co/OM7YyGjMIz
1247850345100750800,kembangtaahu,Apply kartu prakerja banyak untungnya gais. Semoga bermanfaat yah 😘 https://t.co/kDMANkejUo
1247850365225074700,muhay_10,RT @Harian_Jogja: 4.337 Pekerja Terdampak Corona di Bantul Diusulkan Terima Kartu Prakerja https://t.co/zZMF2xELUK https://t.co/sLgxmIuM1T
1247851147559178200,EkaS45254216,"RT @eko_kuntadhi: Bagi mereka yang belum kerja atau korban PHK, monggo mendaftarkan diri untuk mendapat kartu prakerja. Selain ada pelatiha…"
1247851155511599000,ManattoLacola,RT @disnaker_jateng: Selamat sore konco naker! Bagaimana #selfquarantine nya? Tetap jaga kesehatan ya! — Ada kabar baik nih untuk Konco Nak…
1247851255738687500,mygracepa,"RT @kompascom: Catat, Kartu Prakerja diprioritaskan untuk pengangguran muda yang akan mendapatkan insentif biaya pelatihan dan pendaftaran…"
1247851501294239700,bucintsukishima,"agak males pas disuruh daftar kartu prakerja terus pas tau yg megang kartu itu dikasih uang 3,5jt langsung ngekhaya… https://t.co/tEhYUwKC4m"
1247851592138649600,Natan__PIJAT27,@ganjarpranowo Saya kmrn sudah daftr Lwt Online di JKT  Mengisi Formulir nya untuk bisa dpat Kartu Prakerja &amp; Mengi… https://t.co/7vun8TWn3J
1247851791594619000,heryprasty,@KemensosRI  Ada no kontak untik kesulitan daftar kartu prakerja?
1247852075045683200,nxpeak,@FitriyaniNur16 @ganjarpranowo Coba cari di google daftar di https://t.co/8BaJmKdwzx. Saat akses linknya nggak ada… https://t.co/qlMXyHnkPi
1247852143865770000,iNewsID,"""Sampai hari ini ada lima perusahaan yang bergerak di bidang pariwisata yang sudah melaporkan ratusan karyawan yang… https://t.co/adc5GPmSRk"
1247852547273928700,lokermagelangid,"Ada kabar baik nih @disnaker_jateng membuka pendataan Calon Penerima Kartu Prakerja, kalian yang ter PHK ataupun ya… https://t.co/obGNOj7IIt"
